id,rec_id,title,image,usedIngredientCount,missedIngredientCount,likes,created_at,updated_at,store_id
264,106802,Peanut Butter Beignets with Caramelized Bananas and Bitter Caramel Ice Cream,https://spoonacular.com/recipeImages/peanut-butter-beignets-with-caramelized-bananas-and-bitter-caramel-ice-cream-106802.jpg,3,10,0,2018-01-07 22:20:58 UTC,2018-01-07 22:20:58 UTC,121
265,603255,Korean Pulled Pork Sandwiches with Caramel Apple Crumble,https://spoonacular.com/recipeImages/korean-pulled-pork-sandwiches-with-caramel-apple-crumble-603255.jpg,3,17,228,2018-01-07 22:20:58 UTC,2018-01-07 22:20:58 UTC,121
266,182031,c404 - Betty Crocker,https://spoonacular.com/recipeImages/c404-betty-crocker-182031.ashx,12,5,158,2018-01-07 22:21:05 UTC,2018-01-07 22:21:05 UTC,122
267,796215,Easy Plant-Based Meal Planning,https://spoonacular.com/recipeImages/easy-plant-based-meal-planning-796215.jpg,10,19,98,2018-01-07 22:21:05 UTC,2018-01-07 22:21:05 UTC,122
268,5631,"Easiest Weeknight Skillet Shrimp — Quick, Delicious and Family-Friendly",https://spoonacular.com/recipeImages/easiest-weeknight-skillet-shrimp-quick-delicious-and-family-friendly-5631.jpg,10,23,48,2018-01-07 22:21:05 UTC,2018-01-07 22:21:05 UTC,122
269,7877,"Tuna, Tomato, Bean and Basil Salad",https://spoonacular.com/recipeImages/tuna-tomato-bean-and-basil-salad-7877.jpg,10,23,20,2018-01-07 22:21:05 UTC,2018-01-07 22:21:05 UTC,122
270,8111,"Lemony White Bean, Tuna and Celery Salad",https://spoonacular.com/recipeImages/lemony-white-bean-tuna-and-celery-salad-8111.jpg,10,23,11,2018-01-07 22:21:05 UTC,2018-01-07 22:21:05 UTC,122
271,753884,Round 2 - Thanksgiving Pie,https://spoonacular.com/recipeImages/round-2-thanksgiving-pie-753884.jpeg,9,18,206,2018-01-07 22:21:05 UTC,2018-01-07 22:21:05 UTC,122
272,526584,Slow Cooker One Dish Swiss Steak,https://spoonacular.com/recipeImages/slow-cooker-one-dish-swiss-steak-526584.jpg,9,22,0,2018-01-07 22:21:05 UTC,2018-01-07 22:21:05 UTC,122
273,588007,Friday’s Favorites,https://spoonacular.com/recipeImages/fridays-favorites-588007.jpg,9,27,0,2018-01-07 22:21:05 UTC,2018-01-07 22:21:05 UTC,122
274,587970,Friday’s Favorites and a Link-up,https://spoonacular.com/recipeImages/fridays-favorites-and-a-link-up-587970.jpg,8,20,0,2018-01-07 22:21:05 UTC,2018-01-07 22:21:05 UTC,122
